borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
2,07 RENTALS - WALKUP APARTMENTS,53274,3665036,2025-03-27,WalkupApt
1,07 RENTALS - WALKUP APARTMENTS,2613,1850000,2025-01-24,WalkupApt
3,22 STORE BUILDINGS,3434,1900000,2024-12-17,Commercial
3,03 THREE FAMILY DWELLINGS,1710,2320000,2025-10-15,ThreeFamily
5,02 TWO FAMILY DWELLINGS,1492,495000,2025-08-08,TwoFamily
5,01 ONE FAMILY DWELLINGS,1289,800000,2025-02-25,OneFamily
1,22 STORE BUILDINGS,2169,62588500,2025-10-21,Commercial
3,02 TWO FAMILY DWELLINGS,1408,523950,2025-06-18,TwoFamily
3,02 TWO FAMILY DWELLINGS,1408,680000,2024-12-16,TwoFamily
4,02 TWO FAMILY DWELLINGS,1548,725000,2025-06-13,TwoFamily
5,01 ONE FAMILY DWELLINGS,1840,725000,2024-11-13,OneFamily
1,08 RENTALS - ELEVATOR APARTMENTS,59269,725000,2024-12-17,ElevatorApt
1,08 RENTALS - ELEVATOR APARTMENTS,59269,550000,2025-04-10,ElevatorApt
1,07 RENTALS - WALKUP APARTMENTS,2520,1428000,2025-05-20,WalkupApt
2,22 STORE BUILDINGS,1200,1400000,2024-11-26,Commercial
2,02 TWO FAMILY DWELLINGS,2700,725000,2024-12-23,TwoFamily
2,03 THREE FAMILY DWELLINGS,1935,830000,2025-06-10,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2080,1388000,2025-05-16,TwoFamily
3,02 TWO FAMILY DWELLINGS,2080,1450000,2025-02-03,TwoFamily
3,01 ONE FAMILY DWELLINGS,1692,1850000,2024-12-20,OneFamily
3,02 TWO FAMILY DWELLINGS,2025,1950000,2025-04-01,TwoFamily
3,07 RENTALS - WALKUP APARTMENTS,4160,1579200,2025-03-26,WalkupApt
3,01 ONE FAMILY DWELLINGS,1730,650000,2024-11-25,OneFamily
3,02 TWO FAMILY DWELLINGS,3600,2950000,2024-11-22,TwoFamily
3,03 THREE FAMILY DWELLINGS,2640,708058,2025-07-01,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2200,950000,2025-09-16,TwoFamily
3,01 ONE FAMILY DWELLINGS,1120,676000,2025-07-10,OneFamily
3,02 TWO FAMILY DWELLINGS,1400,987804,2025-02-19,TwoFamily
3,01 ONE FAMILY DWELLINGS,1146,1775000,2025-05-29,OneFamily
3,01 ONE FAMILY DWELLINGS,840,1776000,2024-11-08,OneFamily
3,01 ONE FAMILY DWELLINGS,1020,650000,2024-11-12,OneFamily
3,02 TWO FAMILY DWELLINGS,1898,1450000,2025-05-13,TwoFamily
3,03 THREE FAMILY DWELLINGS,2700,2117000,2025-04-28,ThreeFamily
3,02 TWO FAMILY DWELLINGS,1800,1640000,2025-10-08,TwoFamily
4,01 ONE FAMILY DWELLINGS,1428,998000,2025-06-20,OneFamily
4,02 TWO FAMILY DWELLINGS,1236,970000,2025-10-21,TwoFamily
5,01 ONE FAMILY DWELLINGS,1378,616000,2025-07-31,OneFamily
5,01 ONE FAMILY DWELLINGS,1378,563000,2025-01-06,OneFamily
5,01 ONE FAMILY DWELLINGS,1200,560000,2025-03-25,OneFamily
5,01 ONE FAMILY DWELLINGS,1600,670000,2025-09-02,OneFamily
5,01 ONE FAMILY DWELLINGS,448,445000,2025-01-14,OneFamily
5,01 ONE FAMILY DWELLINGS,524,272000,2025-05-19,OneFamily
5,01 ONE FAMILY DWELLINGS,420,311550,2025-09-10,OneFamily
5,01 ONE FAMILY DWELLINGS,1159,360570,2025-07-31,OneFamily
5,01 ONE FAMILY DWELLINGS,1159,452946,2024-12-12,OneFamily
5,02 TWO FAMILY DWELLINGS,2139,530000,2025-07-15,TwoFamily
3,08 RENTALS - ELEVATOR APARTMENTS,48000,7125000,2025-10-29,ElevatorApt
3,07 RENTALS - WALKUP APARTMENTS,38000,3563259,2024-11-15,WalkupApt
3,21 OFFICE BUILDINGS,11290,10225000,2025-04-18,Commercial
3,07 RENTALS - WALKUP APARTMENTS,34600,2520000,2025-08-26,WalkupApt
3,29 COMMERCIAL GARAGES,2660,3350000,2025-04-10,Commercial
3,07 RENTALS - WALKUP APARTMENTS,30700,3600000,2025-07-08,WalkupApt
3,08 RENTALS - ELEVATOR APARTMENTS,60259,28000000,2025-05-01,ElevatorApt
3,02 TWO FAMILY DWELLINGS,4962,4800000,2025-07-01,TwoFamily
4,01 ONE FAMILY DWELLINGS,6816,2850000,2025-03-19,OneFamily
4,27 FACTORIES,8000,3480000,2025-10-15,Commercial
5,01 ONE FAMILY DWELLINGS,1792,665000,2025-06-30,OneFamily
5,01 ONE FAMILY DWELLINGS,2200,1300000,2025-03-05,OneFamily
5,02 TWO FAMILY DWELLINGS,5600,1263648,2024-11-19,TwoFamily
5,02 TWO FAMILY DWELLINGS,5600,1650000,2025-04-17,TwoFamily
1,08 RENTALS - ELEVATOR APARTMENTS,74453,56250000,2025-10-01,ElevatorApt
2,07 RENTALS - WALKUP APARTMENTS,42490,3498128,2025-03-27,WalkupApt
2,07 RENTALS - WALKUP APARTMENTS,42740,3741536,2025-03-27,WalkupApt
3,03 THREE FAMILY DWELLINGS,2968,4925000,2025-07-30,ThreeFamily
3,01 ONE FAMILY DWELLINGS,2700,3100000,2025-10-01,OneFamily
5,01 ONE FAMILY DWELLINGS,884,512000,2025-01-24,OneFamily
2,03 THREE FAMILY DWELLINGS,3000,879000,2025-01-21,ThreeFamily
5,01 ONE FAMILY DWELLINGS,1240,410000,2025-10-01,OneFamily
2,07 RENTALS - WALKUP APARTMENTS,42000,4500000,2025-09-29,WalkupApt
2,32 HOSPITAL AND HEALTH FACILITIES,13674,4200000,2025-07-10,Commercial
3,29 COMMERCIAL GARAGES,13518,164000000,2025-04-30,Commercial
